PUBID,wage,numChildren,age,educ,experience,tenure,marstat,fullTime,y2009
693,5.75,1,20,2.High school,5.774193548,0.307692308,No romantic union,TRUE,0
693,11,2,24,2.High school,10.16129032,2.307692308,Married,TRUE,1
705,8,1,24,2.High school,10.83870968,4.153846154,No romantic union,FALSE,0
709,7,0,23,2.High school,10,1.230769231,No romantic union,TRUE,0
709,5,0,27,2.High school,18.16129032,6.096153846,Cohabiting,TRUE,1
715,7.25,0,20,2.High school,7.612903226,0.192307692,Cohabiting,TRUE,0
715,19.16,2,25,2.High school,12.96774194,2.942307692,No romantic union,TRUE,1
727,7.4,0,20,2.High school,4.677419355,0.346153846,No romantic union,FALSE,0
727,14,0,25,4.College,10.5483871,1.153846154,No romantic union,TRUE,1
730,6.63,0,20,2.High school,6.387096774,1.211538462,Cohabiting,TRUE,0
730,12,0,25,2.High school,13.5483871,1.846153846,Cohabiting,TRUE,1
741,10,0,27,4.College,21.51612903,0.634615385,No romantic union,TRUE,1
751,8.35,4,24,2.High school,12.96774194,0.903846154,Married,TRUE,1
760,27.2,0,22,2.High school,9.451612903,0.519230769,No romantic union,TRUE,0
772,6.5,0,20,2.High school,8.451612903,2.365384615,No romantic union,FALSE,0
772,9,0,25,4.College,15.80645161,1.173076923,No romantic union,FALSE,1
774,10,0,23,2.High school,10.64516129,0.788461538,Cohabiting,FALSE,0
774,17,0,27,3.Some college,18.61290323,5.538461538,No romantic union,TRUE,1
791,13.33,0,22,4.College,7.709677419,0.192307692,No romantic union,FALSE,0
791,13.25,0,27,4.College,15.90322581,2.711538462,No romantic union,TRUE,1
796,7.5,0,21,2.High school,8.709677419,2.596153846,No romantic union,FALSE,0
796,15.87,1,26,4.College,16.48387097,2.134615385,Married,TRUE,1
801,6.5,0,20,2.High school,6,0.961538462,No romantic union,FALSE,0
801,17,0,25,4.College,13.12903226,0.153846154,No romantic union,TRUE,1
815,10,1,28,3.Some college,13.74193548,0.173076923,No romantic union,FALSE,1
828,10.9,0,21,2.High school,2.741935484,1.634615385,No romantic union,FALSE,0
828,25.75,0,26,4.College,10.5483871,4.269230769,No romantic union,TRUE,1
832,2.5,0,21,2.High school,6.774193548,1.192307692,No romantic union,FALSE,0
832,16,0,26,4.College,14.32258065,0.884615385,No romantic union,TRUE,1
835,8.5,1,22,2.High school,7.193548387,0.038461538,Cohabiting,FALSE,0
835,15,1,27,2.High school,15.87096774,5.211538462,Married,FALSE,1
841,18.59,0,22,4.College,13.90322581,1.173076923,Married,FALSE,0
841,29.06,0,27,4.College,21.90322581,3.903846154,Married,TRUE,1
844,15,0,21,2.High school,3.903225806,0.846153846,Cohabiting,FALSE,0
844,36.06,0,26,4.College,12.29032258,5.846153846,Married,TRUE,1
